LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-122.2973684,37.8658807,2120,SIXTH ST,7,BERKELEY,,,94710,056 196203700,ee0314b71c711c63
-122.2526702,37.8564098,2985,COLLEGE AVE,,BERKELEY,,,94705,052 156708600,e0157268c014f9ee
-122.2447155,37.8559557,51,OAKVALE AVE,,BERKELEY,,,94705,064 423803600,fae11bd6c2e4610f
-122.2559742,37.8571801,2922,HILLEGASS AVE,A,BERKELEY,,,94705,052 157002700,2e77a73ac28e4038
-122.253341,37.856528,2980,COLLEGE AVE,1,BERKELEY,,,94705,052 157309300,087ba537453d6d1b
-122.2826736,37.8708851,1434,BERKELEY WAY,,BERKELEY,,,94702,057 207201600,58b347e05eded789
-122.28575,37.8704937,1336,BERKELEY WAY,,BERKELEY,,,94702,057 207302200,cd0e44b7a445b3f1
-122.2893314,37.8724534,1209,DELAWARE ST,,BERKELEY,,,94702,058 213402600,c161fb47c7f6eb81
-122.2607136,37.8632048,2550,DANA ST,G1,BERKELEY,,,94704,055 183204600,1745120d9eb6dec2
-122.2967305,37.8602437,2430,FIFTH ST,A,BERKELEY,,,94710,056 194402600,cdb2517bf335c9c3
-122.2732735,37.8619865,1814,BLAKE ST,1,BERKELEY,,,94703,054 181302700,0d687ceb14888ecd
-122.2876782,37.8639605,2326,BROWNING ST,,BERKELEY,,,94702,056 192503400,8e443912df6fae94
-122.2829669,37.8813789,1515,HOPKINS ST,5,BERKELEY,,,94707,060 242906100,2f80223139a75d3d
-122.2710095,37.8815055,1404,HENRY ST,2,BERKELEY,,,94709,059 226503400,ebc550fb30855cf3
-122.2581102,37.8778653,2634,VIRGINIA ST,23,BERKELEY,,,94709,058 220602200,9dbd42b905db28fe
-122.2602225,37.8572068,2325,HOWE ST,1,BERKELEY,,,94705,052 157902400,f258ea586b1ddfc7
-122.2619589,37.8634817,2316,BLAKE ST,B,BERKELEY,,,94704,055 183204200,94866f3ec6a229a7
-122.2538469,37.8634045,2602,COLLEGE AVE,,BERKELEY,,,94704,055 184503700,cb4c8d1bdef94381
-122.2602174,37.864225,2405,BLAKE ST,,BERKELEY,,,94704,055 183803300,eda7af8e86fb48c2
-122.2528252,37.8638103,2600,ETNA ST,3,BERKELEY,,,94704,055 184806700,bea3b224e19c3281
-122.2912467,37.861501,2430,TENTH ST,,BERKELEY,,,94710,056 193503300,aa8e607a236c73e4
-122.2635826,37.8543909,3036,FULTON ST,A,BERKELEY,,,94705,052 158403700,eefcf2550d850166
-122.2578516,37.8619623,2636,REGENT ST,,BERKELEY,,,94704,055 184005700,757f99fbcdf17424
-122.2523701,37.8534062,3109,COLLEGE AVE,A,BERKELEY,,,94705,052 156321900,b8685b8333c94bd7
-122.2617764,37.8540511,3045,DEAKIN ST,L,BERKELEY,,,94705,052 157604700,52ca7773a5a63f52
-122.2740945,37.873823,1832,DELAWARE ST,1,BERKELEY,,,94703,057 206404300,eb29c5098efe0b47
-122.2968284,37.8735413,1629,EIGHTH ST,,BERKELEY,,,94710,058 212403300,b57f97117b17a634
-122.2699642,37.873984,2021,HEARST AVE,B,BERKELEY,,,94709,057 205003800,e648bcc2ddd7376b
-122.2822304,37.866418,2220,SACRAMENTO ST,7,BERKELEY,,,94702,056 199805700,91045477766a0369
-122.2735648,37.8628914,1810,DWIGHT WAY,,BERKELEY,,,94703,054 181402600,39a00af7c63d93f4
-122.253341,37.856528,2980,COLLEGE AVE,9,BERKELEY,,,94705,052 157310100,37275e81468f9a92
-122.2607136,37.8632048,2550,DANA ST,G9,BERKELEY,,,94704,055 183205400,ff865cbc192353d6
-122.2921601,37.856885,930,CARLETON ST,,BERKELEY,,,94710,054 174702400,b195804689214472
-122.252474,37.857742,2723,ASHBY PL,A,BERKELEY,,,94705,052 156707900,aa8b99c33b49ffaa
-122.276464,37.8726153,1726,HEARST AVE,B,BERKELEY,,,94703,057 206205500,2cd14fb62b2d5393
-122.2621365,37.8634607,2314,BLAKE ST,,BERKELEY,,,94704,055 183202800,e671fa3659ba7575
-122.251187,37.864328,2547,PIEDMONT AVE,2,BERKELEY,,,94704,055 185102700,bf8f67e8448455a0
-122.2826325,37.8823712,1294,MONTEREY AVE,,BERKELEY,,,94707,060 242905900,109ea893191e2970
-122.2701552,37.8841254,2043,BERRYMAN ST,,BERKELEY,,,94709,060 245508000,b27662fc7183385b
-122.2968609,37.8606531,2418,FIFTH ST,B,BERKELEY,,,94710,056 194404100,fe8b4494f467c576
-122.259998,37.8629152,2601,DANA ST,A,BERKELEY,,,94704,055 183602500,74b466b92595d5c7
-122.2565727,37.8621784,2632,HILLEGASS AVE,1,BERKELEY,,,94704,055 184103300,39eb72de0d2c6ea2
-122.2755099,37.8700241,1740,ADDISON ST,A,BERKELEY,,,94703,056 201203400,5fd77dd751642278
-122.2986644,37.8699608,1812,SIXTH ST,1,BERKELEY,,,94710,057 209805500,5b1606dfe08f25f5
-122.2781641,37.8705395,1672,UNIVERSITY AVE,,BERKELEY,,,94703,056 200402600,82c92bdd80a32bd9
-122.2607136,37.8632048,2550,DANA ST,G6,BERKELEY,,,94704,055 183205100,3804f9e5a05674a1
-122.2635274,37.8780291,2348,HILGARD AVE,,BERKELEY,,,94709,058 218702600,d3275cbeceb2a819
-122.2516983,37.8609793,2741,GARBER ST,6,BERKELEY,,,94705,054 170702000,6541b28a692237b1
-122.270312,37.8743119,2016,DELAWARE ST,C,BERKELEY,,,94709,057 205003400,4ac57e102bdccc99
-122.2626093,37.878251,2414,HILGARD AVE,,BERKELEY,,,94709,058 219402800,2b12c7861eca82e1
-122.2581102,37.8778653,2634,VIRGINIA ST,12,BERKELEY,,,94709,058 220601700,dd6f50705a32fba5
-122.2804719,37.8753428,1658,CALIFORNIA ST,,BERKELEY,,,94703,058 215303200,1167f5b4fb6da368
-122.2661705,37.8752882,1785,OXFORD ST,,BERKELEY,,,94709,058 218103900,56681d27eaa477b4
-122.2601243,37.876631,1767,EUCLID AVE,1,BERKELEY,,,94709,058 219902700,928c77d7316e5a06
-122.2734685,37.8788394,1521,M L KING JR WAY,1,BERKELEY,,,94709,059 226803400,f2e758fd2accfa9d
-122.2603926,37.864649,2501,DANA ST,1,BERKELEY,,,94704,055 183802200,b2f4a646f99cc1d6
-122.2592864,37.8643674,2425,BLAKE ST,,BERKELEY,,,94704,055 183803600,f380fa2faa74adb6
-122.253307,37.8568268,2646,ASHBY AVE,,BERKELEY,,,94705,052 157308900,178885c61f7a9b3a
-122.2602225,37.8572068,2323,HOWE ST,2,BERKELEY,,,94705,052 157902500,1149503dbaa0446e
-122.2742487,37.8720348,1822,BERKELEY WAY,2,BERKELEY,,,94703,057 206001800,35f6069ffb3ae901
-122.2893314,37.8724534,1211,DELAWARE ST,,BERKELEY,,,94702,058 213402700,919e8daa689ef187
-122.2920678,37.8602449,2512,NINTH ST,1,BERKELEY,,,94710,054 177800300,d80da6806c157d27
-122.2963292,37.8608973,2415,FIFTH ST,,BERKELEY,,,94710,056 194302400,6b5087d6a910c289
-122.2661397,37.8589031,2115,STUART ST,1,BERKELEY,,,94705,054 172003700,d004f8012cd4b5fa
-122.2653551,37.8608303,2133,DERBY ST,,BERKELEY,,,94705,055 182603200,6b3f3369bad8373c
-122.255256,37.8620961,2640,BENVENUE AVE,,BERKELEY,,,94704,055 184402900,258538b7fc8a71fc
-122.2553039,37.8626063,2626,BENVENUE AVE,1,BERKELEY,,,94704,055 184403500,d3a3c2d522dcdcb7
-122.2501508,37.8681712,2905,CHANNING WAY,,BERKELEY,,,94704,055 186301000,f91d3c1777c6bf10
-122.2860206,37.8686248,1300,ADDISON ST,,BERKELEY,,,94702,056 199405900,c7ec85320ef8e00e
-122.2685609,37.8659125,2029,CHANNING WAY,2B,BERKELEY,,,94704,055 189502500,81e7e15411bdad18
-122.2822304,37.866418,2220,SACRAMENTO ST,6,BERKELEY,,,94702,056 199805600,f2d7ee3263a1ef09
-122.2663502,37.877078,2201,VIRGINIA ST,6,BERKELEY,,,94709,058 218303000,50c1b96ef4b83165
-122.2563535,37.877211,1730,HIGHLAND PL,1,BERKELEY,,,94709,058 220404400,12008ac67a801f67
-122.2505738,37.8634527,2614,WARRING ST,3,BERKELEY,,,94704,055 185202700,a9b87e7a53de8ce4
-122.2602174,37.864225,2407,BLAKE ST,,BERKELEY,,,94704,055 183803400,2f7e8e83b069394d
-122.2894341,37.8556915,1012,GRAYSON ST,B,BERKELEY,,,94710,053 166004100,0ce9efba587d96fc
-122.2916594,37.870889,1127,HEARST AVE,,BERKELEY,,,94702,057 208606600,7ddf6258a298e78c
-122.2984238,37.871461,1729,SIXTH ST,,BERKELEY,,,94710,058 211903100,62c42630dec270aa
-122.2521622,37.8631712,2619,ETNA ST,A,BERKELEY,,,94704,055 184903000,018431a2dd1cf139
-122.3001731,37.8782912,1336,SEVENTH ST,,BERKELEY,,,94710,059 234901000,fea3dae5972a2128
-122.2657405,37.8817999,1417,SPRUCE ST,A,BERKELEY,,,94709,059 225403600,3ea65fc12440a2c3
-122.2709789,37.8811786,1410,HENRY ST,,BERKELEY,,,94709,059 226502900,20c5c6844cd62a7e
-122.2488494,37.855745,2832,WEBSTER ST,,BERKELEY,,,94705,052 156408700,143f9f6b2af0f64a
-122.250818,37.8595051,2815,PIEDMONT AVE,A,BERKELEY,,,94705,053 169802400,41021207198903fa
-122.2533518,37.8582277,2904,COLLEGE AVE,,BERKELEY,,,94705,052 156804900,05bb3c0b2233dd9b
-122.27001,37.8836055,1300,SHATTUCK AVE,A,BERKELEY,,,94709,060 245511600,705724446c1dc4af
-122.2672951,37.8852848,1219,OXFORD ST,1,BERKELEY,,,94709,060 246611000,6e2a4aef44b23d93
-122.2945824,37.8676064,933,ADDISON ST,B,BERKELEY,,,94710,056 197202000,9fc924d2c1a85d4c
-122.2675493,37.881725,1414,OXFORD ST,,BERKELEY,,,94709,059 225804100,d2d90c81f760e2b8
-122.2680237,37.8817992,1411,WALNUT ST,,BERKELEY,,,94709,059 225805100,6d07e1673a2f1844
-122.2723787,37.8635307,2484,M L KING JR WAY,,BERKELEY,,,94704,055 190203500,571e7854c60366b5
-122.2723787,37.8635307,2486,M L KING JR WAY,,BERKELEY,,,94704,055 190203600,0ec2c560e4c1796d
-122.2647885,37.8590743,2149,STUART ST,1,BERKELEY,,,94705,054 172004100,2ad3d5ff0aca18b1
-122.2739398,37.8625301,1801,BLAKE ST,,BERKELEY,,,94703,054 181403900,bf183cee1c78ae7d
-122.2777588,37.8658643,2311,JEFFERSON AVE,A,BERKELEY,,,94703,055 190903400,1a0bada9bea0b2af
-122.2626093,37.878251,1653,SCENIC AVE,,BERKELEY,,,94709,058 219402600,ce770b87ffda65f7
-122.2626201,37.8786974,1635,SCENIC AVE,1,BERKELEY,,,94709,058 219503000,4b5d3bd1a245a34c
-122.2593389,37.8777022,2566,VIRGINIA ST,1,BERKELEY,,,94709,058 219801700,bfc91a2bb608f7bd
-122.2617988,37.8827826,1406,EUCLID AVE,1,BERKELEY,,,94708,059 224904900,f1b25ed86153f283
-122.2641876,37.8823272,1414,SPRING WAY,,BERKELEY,,,94708,059 225304800,393f7cf68b8b4809
-122.2525516,37.8551981,3017,COLLEGE AVE,2,BERKELEY,,,94705,052 156407100,7be32ec38accfcea
-122.2649636,37.8581374,2141,OREGON ST,2,BERKELEY,,,94705,053 168504000,55c38f3d98e25235
-122.2566083,37.8592185,2815,REGENT ST,2,BERKELEY,,,94705,053 169302800,1e5f62fdfa6d951a
-122.2706676,37.8843956,1235,HENRY ST,,BERKELEY,,,94709,060 245508900,dcb03726ee5fecfd
-122.2672237,37.8846863,1237,OXFORD ST,,BERKELEY,,,94709,060 246610300,dcbf865318fbba25
-122.2672951,37.8852848,1219,OXFORD ST,A,BERKELEY,,,94709,060 246611100,4aaccea240da242a
-122.2672965,37.8881287,2218,LOS ANGELES AVE,,BERKELEY,,,94707,061 255704300,eb56538159937486
-122.2703445,37.8476891,1814,SIXTY-THIRD ST,A,BERKELEY,,,94703,052 152602500,e9b29e3175c6b710
-122.2528513,37.8519041,3154,COLLEGE AVE,1,BERKELEY,,,94705,052 141003700,795762ad6a6f7921
-122.2523395,37.8530779,3121,COLLEGE AVE,1,BERKELEY,,,94705,052 156318900,2c04373dbd20ff01
-122.2540002,37.8578236,2915,BENVENUE AVE,1,BERKELEY,,,94705,052 156804100,37f150fbdf6a3262
-122.2599616,37.8781415,2551,VIRGINIA ST,,BERKELEY,,,94709,058 219702200,cd3dcf8969f19d09
-122.2903441,37.8741829,1642,CURTIS ST,,BERKELEY,,,94702,059 229004700,ae29a1a8e9a4d09c
-122.2661835,37.8754132,1777,OXFORD ST,,BERKELEY,,,94709,058 218103400,28264b2c3deb09c2
-122.2637937,37.8754328,1849,ARCH ST,A,BERKELEY,,,94709,058 218901100,63716f644b32e65d
-122.2644463,37.8756604,1812,ARCH ST,,BERKELEY,,,94709,058 218204200,6a0f8744f7e4cf0c
-122.2672663,37.8850671,1223,OXFORD ST,1,BERKELEY,,,94709,060 246611300,25edd0c52c258745
-122.2705265,37.8832466,1309,HENRY ST,,BERKELEY,,,94709,060 245510100,50fba8bbafade9d8
-122.2701214,37.8795445,1515,HENRY ST,A,BERKELEY,,,94709,059 226303300,456c02bc7f6fd00d
-122.2593262,37.8549513,3031,TELEGRAPH AVE,101,BERKELEY,,,94705,052 157408200,c6d7f26a3746e6b7
-122.2561056,37.859322,2808,HILLEGASS AVE,A2,BERKELEY,,,94705,053 169303700,3959e54ee1c689f1
-122.2536197,37.8592598,2818,COLLEGE AVE,,BERKELEY,,,94705,053 169503200,061adea58ea12d9f
-122.2802081,37.8822699,1304,CARLOTTA AVE,,BERKELEY,,,94703,060 243804700,954371f936c57dd8
-122.2712484,37.8828837,1304,HENRY ST,,BERKELEY,,,94709,060 245302400,31f2ffe5f0fd5ce9
-122.2701996,37.8734165,2010,HEARST AVE,A,BERKELEY,,,94709,057 205103700,a416cb4a93211dad
-122.270312,37.8743119,2016,DELAWARE ST,B,BERKELEY,,,94709,057 205003300,5254007c72f21505
-122.2935972,37.8774462,1447,KAINS AVE,,BERKELEY,,,94702,060 239403200,fc994b2ee941a606
-122.2740945,37.873823,1832,DELAWARE ST,2,BERKELEY,,,94703,057 206404400,7c72ee84ecc9381d
-122.2904942,37.8740751,1171,VIRGINIA ST,,BERKELEY,,,94702,059 229005300,e4f0ebc3646c9fdf
-122.2788762,37.8688956,1612,ADDISON ST,,BERKELEY,,,94703,056 200502000,76487e837b92681c
-122.2990841,37.8704076,812,DELAWARE ST,9-17,BERKELEY,,,94710,057 209803600,41fdf9df27a5c39b
-122.2973684,37.8658807,2120,SIXTH ST,1,BERKELEY,,,94710,056 196203100,4e4f78a0418283a8
-122.27183,37.873193,1903,BONITA AVE,2,BERKELEY,,,94704,057 205603400,d28a74918b5d7df6
-122.273567,37.8740156,1846,DELAWARE ST,2,BERKELEY,,,94703,057 206403400,4774d04dfe278c32
-122.2708715,37.8775412,2011,LINCOLN ST,C,BERKELEY,,,94709,058 217303600,f7686aa2d13d525b
-122.2663502,37.877078,2201,VIRGINIA ST,1,BERKELEY,,,94709,058 218302500,5fbaefde819c6312
-122.2561668,37.8768523,1780,HIGHLAND PL,,BERKELEY,,,94709,058 220405000,b5d50245635c6fd6
-122.2893777,37.871383,1817,CURTIS ST,,BERKELEY,,,94702,057 208202600,cadc569819eb21bf
-122.2968284,37.8735413,1627,EIGHTH ST,,BERKELEY,,,94710,058 212403400,b06746a69a420041
-122.2911416,37.8740066,1644,CORNELL AVE,,BERKELEY,,,94702,059 228904200,033f576cf5f582b0
-122.272065,37.8750002,1928,FRANCISCO ST,,BERKELEY,,,94709,058 216903500,292b5d8332df3815
-122.2920765,37.8752353,1605,STANNAGE AVE,,BERKELEY,,,94702,059 228904500,fd831af4ac46774b
-122.2657405,37.8817999,1417,SPRUCE ST,C,BERKELEY,,,94709,059 225403800,5783f488388fa4c6
-122.2559742,37.8571801,2922,HILLEGASS AVE,B,BERKELEY,,,94705,052 157002800,af7d06d108a93939
-122.2441576,37.8571194,32,DOMINGO AVE,2,BERKELEY,,,94705,064 423601900,d1d418c17ca90844
-122.2717972,37.8574549,2812,M L KING JR WAY,,BERKELEY,,,94703,053 167702400,ccd45c8a5fd4f14e
-122.279986,37.8693624,2106,CALIFORNIA ST,,BERKELEY,,,94703,056 200203600,1e44e854814c37ab
-122.2938902,37.8822781,1216,CORNELL AVE,,BERKELEY,,,94706,060 240703000,87517183be73fc73
-122.2701552,37.8841254,2045,BERRYMAN ST,,BERKELEY,,,94709,060 245507900,689062c685bb0a38
-122.2607136,37.8632048,2550,DANA ST,4B,BERKELEY,,,94704,055 183208800,f9f33ca633a6d3c4
-122.2941117,37.8739725,1644,SAN PABLO AVE,4,BERKELEY,,,94702,058 212803300,2f5d7667cd244abc
-122.2663502,37.877078,2201,VIRGINIA ST,2,BERKELEY,,,94709,058 218302600,ca67df2c1b19a6cb
-122.2563535,37.877211,2710,LE CONTE AVE,2,BERKELEY,,,94709,058 220404000,43e016bc083849fb
-122.279822,37.8593899,1504,CARLETON ST,B,BERKELEY,,,94703,054 180203000,8a5d62bf828ba66e
-122.2967305,37.8602437,2430,FIFTH ST,B,BERKELEY,,,94710,056 194402700,661a163e2d55a9a3
-122.2802081,37.8822699,1302,CARLOTTA AVE,,BERKELEY,,,94703,060 243804600,eab7db6f50b0053f
-122.2617672,37.8773889,2444,VIRGINIA ST,A,BERKELEY,,,94709,058 219301600,515f09b4de3d1e38
-122.2953207,37.8726598,1707,NINTH ST,,BERKELEY,,,94710,058 212603100,531ee3069d299853
-122.2639516,37.8595678,2731,FULTON ST,2,BERKELEY,,,94705,054 171703800,2f62350213185423
-122.2639689,37.8803256,1532,SCENIC AVE,,BERKELEY,,,94708,059 225203700,26a1fe163f7b769a
-122.2643547,37.8797113,1557,ARCH ST,,BERKELEY,,,94708,059 225204100,8af92144fc0335fc
-122.2745691,37.8797605,1825,VINE ST,1,BERKELEY,,,94703,059 227003500,f12c77ef0a52c4f3
